epoch,train_loss,train_acc,val_loss,val_acc
0,0.6281871596972147,76.75521821631878,0.5996531513002183,73.48484848484848
1,0.5605775578455492,80.07590132827325,0.5593993067741394,74.24242424242425
2,0.5282774034774664,77.89373814041745,0.5183486110634274,75.37878787878788
3,0.49764132409384754,78.65275142314991,0.5108562741014693,74.62121212121212
4,0.44992407975774823,80.36053130929791,0.5214440789487627,73.48484848484848
5,0.4563752855315353,80.64516129032258,0.5279158850510915,74.24242424242425
6,0.4373652889873042,81.97343453510436,0.49717896348900265,75.37878787878788
7,0.4446734885374705,81.30929791271348,0.48322076598803204,76.51515151515152
8,0.43877240654193994,80.83491461100569,0.5019437770048777,75.37878787878788
9,0.4098042132276477,81.8785578747628,0.5125496155685849,75.0
10,0.4222332239151001,80.64516129032258,0.5450327032142215,72.72727272727273
11,0.43314573484839813,81.40417457305503,0.5338613126013014,76.13636363636364
12,0.4389808584343303,79.79127134724858,0.5221810042858124,75.0
13,0.40311614085327496,82.92220113851992,0.514228857225842,74.62121212121212
14,0.40699260343204846,82.16318785578748,0.5132119225131141,74.62121212121212
15,0.442924542409001,80.64516129032258,0.5159527493847741,74.24242424242425
16,0.4178147315979004,81.6888045540797,0.5212230682373047,74.24242424242425
17,0.44382286071777344,79.69639468690703,0.5164556354284286,74.24242424242425
18,0.4097141736384594,81.59392789373814,0.5223726563983493,75.75757575757575
19,0.4094995206052607,81.8785578747628,0.5138077951139874,74.62121212121212
20,0.42741069920135266,80.45540796963947,0.5122865868939294,75.37878787878788
21,0.41561601107770746,81.21442125237192,0.514056404431661,75.0
22,0.407305660572919,82.16318785578748,0.514951315191057,75.0
23,0.38877669428334094,82.82732447817837,0.5144656118419435,74.62121212121212
24,0.4111216330167019,81.59392789373814,0.5130421486165788,75.37878787878788
25,0.41321934488686646,81.49905123339659,0.5114777502086427,75.0
26,0.39877938230832416,81.6888045540797,0.512071066432529,75.37878787878788
27,0.41462732038714667,81.02466793168881,0.5116791758272383,75.37878787878788
28,0.4196111397309737,81.02466793168881,0.5125198894076877,75.37878787878788
29,0.4363270447109685,81.11954459203035,0.512099434932073,75.37878787878788
30,0.4046498794447292,82.82732447817837,0.5120141588979297,75.37878787878788
31,0.3906978273933584,82.35294117647058,0.5119607730044259,75.37878787878788
32,0.4088206553097927,81.49905123339659,0.5120119021998512,75.37878787878788
33,0.40124677844119794,82.82732447817837,0.5120637516180674,75.37878787878788
34,0.4161765548315915,80.07590132827325,0.5122334394190047,75.37878787878788
35,0.37528713408744696,82.92220113851992,0.5122645580106311,75.37878787878788
36,0.39890938274788135,82.73244781783681,0.5122288548284106,75.37878787878788
37,0.41596138522480475,81.21442125237192,0.5121800634596083,75.37878787878788
38,0.41815001404646673,81.6888045540797,0.5121627863910463,75.37878787878788
39,0.4206468300385909,81.21442125237192,0.5121139023039076,75.37878787878788
40,0.39453407083496905,83.30170777988614,0.5120977312326431,75.37878787878788
41,0.399474148497437,82.5426944971537,0.5120887292755975,75.37878787878788
42,0.4156247526407242,80.74003795066413,0.5120717485745748,75.37878787878788
43,0.391442465059685,83.01707779886148,0.5120784872108035,75.37878787878788
44,0.41034088216044684,81.21442125237192,0.5120814012156593,75.37878787878788
45,0.3957909481091933,81.78368121442125,0.5120865619844861,75.37878787878788
46,0.4164516474261428,80.45540796963947,0.5120871331956651,75.37878787878788
47,0.3930558950612039,82.82732447817837,0.5120888700087866,75.37878787878788
48,0.41241492556803155,81.40417457305503,0.5120923618475596,75.37878787878788
49,0.39648721434853296,81.30929791271348,0.5120926631821526,75.37878787878788
50,0.41004441543058917,81.11954459203035,0.5120942907200919,75.37878787878788
51,0.4232392523324851,81.11954459203035,0.5120957907703187,75.37878787878788
52,0.4239831304911411,80.36053130929791,0.5120962460835775,75.37878787878788
53,0.42720408602194354,81.6888045540797,0.5120977809031805,75.37878787878788
54,0.40858649078643683,82.44781783681215,0.5120977411667506,75.37878787878788
55,0.3678400083021684,84.7248576850095,0.5120978520976173,75.37878787878788
56,0.4290125568707784,81.97343453510436,0.5120978471305635,75.37878787878788
57,0.424647128943241,80.92979127134726,0.5120983454916213,75.37878787878788
58,0.3966701242959861,83.11195445920305,0.5120982047584322,75.37878787878788
59,0.4122464756170909,81.11954459203035,0.5120984415213267,75.37878787878788
